impossible,3.9612606519,109330
period,3.961936473,109160
sister,3.9626412413,108983
battle,3.9634469531,108781
school,3.9637664606,108701
Mary,3.9640382269,108633
raised,3.9642501627,108580
occasion,3.9643941781,108544
married,3.9648946027,108419
man's,3.9651871177,108346
former,3.9653755535,108299
food,3.9660136348,108140
youth,3.9661863588,108097
learned,3.9662868113,108072
merely,3.9664395437,108034
reach,3.9674336155,107787
system,3.9686076958,107496
twenty,3.9686925462,107475
dinner,3.9689391104,107414
quiet,3.9699389266,107167
easily,3.9705675191,107012
moved,3.9706324579,106996
afterwards,3.9706486941,106992
giving,3.9706933469,106981
walk,3.9711929585,106858
stopped,3.9719943489,106661
laughed,3.9722794634,106591
language,3.9728747337,106445
expression,3.9729971506,106415
week,3.9739409186,106184
hall,3.9742518713,106108
danger,3.975616966,105775
property,3.9756580263,105765
wonder,3.9763854363,105588
usual,3.9771099466,105412
figure,3.977147028,105403
born,3.9790672172,104938
court,3.9804434045,104606
generally,3.9810998716,104448
grew,3.9816074437,104326
showed,3.9821114421,104205
getting,3.9830460102,103981
ancient,3.9839909653,103755
respect,3.9850722386,103497
third,3.9851939456,103468
worth,3.9857063281,103346
simple,3.9876479381,102885
tree,3.9877028167,102872
leaving,3.9878801642,102830
remain,3.9880026607,102801
society,3.9898909374,102355
fight,3.9905236082,102206
wall,3.9908721831,102124
result,3.9912338062,102039
heaven,3.9919323783,101875
William,3.9923375535,101780
started,3.9923759581,101771
command,3.9926064572,101717
tone,3.9932388234,101569
regard,3.9950813447,101139
expected,3.9951758238,101117
mere,3.9954164087,101061
month,3.9955195574,101037
beside,3.996927404,100710
silent,3.9969920938,100695
perfect,3.9977388792,100522
experience,3.9978166532,100504
street,3.9978382596,100499
writing,3.998733708,100292
goes,3.9989806053,100235
circumstances,3.9992796689,100166
entirely,4.0008555337,99803.2
fresh,4.0015035213,99654.4
duke,4.0019068241,99561.9
covered,4.0024423783,99439.2
bound,4.0030301963,99304.7
east,4.0033968379,99220.9
wood,4.0036739934,99157.6
stone,4.0040416176,99073.7
quickly,4.0043884948,98994.6
notice,4.0049266808,98872
bright,4.0053577982,98773.9
Christ,4.005427274,98758.1
boat,4.0054343102,98756.5
noble,4.0056186099,98714.6
meant,4.0056604072,98705.1
somewhat,4.0058971874,98651.3
sudden,4.0065734696,98497.8
value,4.0077434768,98232.8
c.,4.0088115943,97991.5
direction,4.010424273,97628.3
chair,4.010695268,97567.4
due,4.0116506609,97353
support,4.0117354287,97334
tom,4.0128098433,97093.5
date,4.0136385768,96908.4
waiting,4.0139685401,96834.8
Christian,4.0144123235,96735.9
village,4.0146575186,96681.3
lives,4.0152585175,96547.6
reading,4.0156284305,96465.4
agree,4.0158603493,96413.9
lines,4.016833957,96198
considered,4.0169021327,96182.9
field,4.0169590292,96170.3
observed,4.0172309709,96110.1
scarcely,4.0178210643,95979.6
wished,4.0198229454,95538.2
wait,4.0198879547,95523.9
